545
10
1516
1516
0 1  1  6   54  8 (D,0,1,1) (S,19,1,19) (S,26,19,27) (S,4,27,8) (S,23,8,27) (S,46,27,26) (S,31,26,24) (D,0,1,1) 
0 1  2  7   62  9 (D,0,1,1) (S,40,1,19) (S,42,19,17) (S,27,17,17) (S,15,17,20) (S,25,20,22) (S,35,22,23) (S,14,23,14) (D,0,1,1) 
0 1  3  6   64  8 (D,0,1,1) (S,43,1,13) (S,6,13,14) (S,41,14,25) (S,38,25,25) (S,18,25,25) (S,2,25,4) (D,0,1,1) 
0 1  4  5   50  7 (D,0,1,1) (S,1,1,2) (S,11,2,12) (S,22,12,6) (S,21,6,9) (S,3,9,6) (D,0,1,1) 
0 1  5  3   43  5 (D,0,1,1) (S,33,1,5) (S,39,5,9) (S,28,9,6) (D,0,1,1) 
0 1  6  6   76  8 (D,0,1,1) (S,29,1,19) (S,30,19,15) (S,47,15,15) (S,32,15,21) (S,13,21,20) (S,7,20,16) (D,0,1,1) 
0 1  7  6   59  8 (D,0,1,1) (S,20,1,12) (S,5,12,10) (S,45,10,8) (S,9,8,26) (S,37,26,9) (S,36,9,6) (D,0,1,1) 
0 1  8  4   58  6 (D,0,1,1) (S,12,1,8) (S,17,8,4) (S,10,4,3) (S,24,3,11) (D,0,1,1) 
0 1  9  3   46  5 (D,0,1,1) (S,44,1,18) (S,34,18,21) (S,16,21,23) (D,0,1,1) 
0 1 10  1   33  3 (D,0,1,1) (S,8,1,23) (D,0,1,1) 
