22932
12
814
814
0 1  1  6 1994  8 (D,0,1,1) (S,10,1,7) (S,9,7,3) (S,1,3,3) (S,11,3,4) (S,19,4,9) (S,2,9,11) (D,0,1,1) 
0 1  2  5 1958  7 (D,0,1,1) (S,7,1,2) (S,18,2,8) (S,21,8,14) (S,3,14,14) (S,22,14,15) (D,0,1,1) 
0 1  3  5 1968  7 (D,0,1,1) (S,16,1,7) (S,46,7,13) (S,28,13,15) (S,4,15,15) (S,15,15,10) (D,0,1,1) 
0 1  4  6 2133  8 (D,0,1,1) (S,17,1,11) (S,48,11,7) (S,20,7,10) (S,29,10,22) (S,6,22,24) (S,50,24,25) (D,0,1,1) 
0 1  5  5 1986  7 (D,0,1,1) (S,8,1,6) (S,47,6,12) (S,31,12,19) (S,37,19,27) (S,40,27,24) (D,0,1,1) 
0 1  6  5 2033  7 (D,0,1,1) (S,12,1,8) (S,27,8,17) (S,49,17,17) (S,38,17,28) (S,43,28,27) (D,0,1,1) 
0 1  7  3 1791  5 (D,0,1,1) (S,23,1,18) (S,41,18,25) (S,33,25,23) (D,0,1,1) 
0 1  8  3 1912  5 (D,0,1,1) (S,14,1,9) (S,13,9,5) (S,26,5,14) (D,0,1,1) 
0 1  9  4 2068  6 (D,0,1,1) (S,25,1,16) (S,24,16,13) (S,36,13,21) (S,45,21,29) (D,0,1,1) 
0 1 10  4 1959  6 (D,0,1,1) (S,32,1,19) (S,34,19,20) (S,35,20,24) (S,5,24,22) (D,0,1,1) 
0 1 11  3 1953  5 (D,0,1,1) (S,30,1,17) (S,44,17,28) (S,42,28,26) (D,0,1,1) 
0 1 12  1 1177  3 (D,0,1,1) (S,39,1,29) (D,0,1,1) 
