624
10
1749
1749
0 1  1  5   49  7 (D,0,1,1) (S,10,1,19) (S,35,19,24) (S,22,24,27) (S,15,27,27) (S,12,27,23) (D,0,1,1) 
0 1  2  5   51  7 (D,0,1,1) (S,40,1,12) (S,28,12,1) (S,43,1,13) (S,7,13,15) (S,29,15,15) (D,0,1,1) 
0 1  3  5   48  7 (D,0,1,1) (S,24,1,17) (S,39,17,20) (S,11,20,21) (S,19,21,21) (S,9,21,18) (D,0,1,1) 
0 1  4  6   80  8 (D,0,1,1) (S,1,1,3) (S,31,3,8) (S,5,8,8) (S,44,8,10) (S,16,10,7) (S,45,7,14) (D,0,1,1) 
0 1  5  4   60  6 (D,0,1,1) (S,37,1,8) (S,26,8,6) (S,3,6,5) (S,2,5,4) (D,0,1,1) 
0 1  6  5   81  7 (D,0,1,1) (S,41,1,4) (S,38,4,10) (S,23,10,5) (S,18,5,9) (S,8,9,16) (D,0,1,1) 
0 1  7  6   53  8 (D,0,1,1) (S,25,1,15) (S,6,15,14) (S,21,14,25) (S,13,25,25) (S,34,25,25) (S,42,25,23) (D,0,1,1) 
0 1  8  5   77  7 (D,0,1,1) (S,14,1,26) (S,17,26,26) (S,30,26,25) (S,27,25,23) (S,32,23,21) (D,0,1,1) 
0 1  9  4   90  6 (D,0,1,1) (S,36,1,20) (S,20,20,18) (S,46,18,9) (S,33,9,11) (D,0,1,1) 
0 1 10  1   35  3 (D,0,1,1) (S,4,1,7) (D,0,1,1) 
