612
10
762
762
0 1  1  7   66  9 (D,0,1,1) (S,26,1,19) (S,37,19,27) (S,29,27,27) (S,38,27,26) (S,36,26,26) (S,32,26,25) (S,10,25,14) (D,0,1,1) 
0 1  2  6   52  8 (D,0,1,1) (S,24,1,12) (S,25,12,1) (S,12,1,13) (S,6,13,15) (S,34,15,17) (S,15,17,15) (D,0,1,1) 
0 1  3  4   65  6 (D,0,1,1) (S,7,1,17) (S,31,17,15) (S,33,15,21) (S,8,21,21) (D,0,1,1) 
0 1  4  4   63  6 (D,0,1,1) (S,9,1,24) (S,23,24,24) (S,18,24,23) (S,11,23,22) (D,0,1,1) 
0 1  5  2   55  4 (D,0,1,1) (S,1,1,3) (S,4,3,6) (D,0,1,1) 
0 1  6  6   83  8 (D,0,1,1) (S,13,1,8) (S,19,8,9) (S,3,9,5) (S,21,5,8) (S,16,8,11) (S,30,11,17) (D,0,1,1) 
0 1  7  3   57  5 (D,0,1,1) (S,5,1,14) (S,22,14,25) (S,17,25,25) (D,0,1,1) 
0 1  8  3   81  5 (D,0,1,1) (S,35,1,18) (S,27,18,21) (S,20,21,6) (D,0,1,1) 
0 1  9  2   59  4 (D,0,1,1) (S,28,1,11) (S,2,11,4) (D,0,1,1) 
0 1 10  1   31  3 (D,0,1,1) (S,14,1,10) (D,0,1,1) 
