1094
10
2257
2257
0 1  1 17  100 19 (D,0,1,1) (S,6,1,9) (S,69,9,22) (S,13,22,22) (S,50,22,26) (S,16,26,26) (S,84,26,25) (S,21,25,33) (S,70,33,25) (S,65,25,33) (S,104,33,26) (S,120,26,20) (S,54,20,22) (S,85,22,13) (S,10,13,13) (S,88,13,25) (S,33,25,34) (S,101,34,38) (D,0,1,1) 
0 1  2 14  100 16 (D,0,1,1) (S,97,1,1) (S,4,1,5) (S,5,5,6) (S,100,6,5) (S,87,5,11) (S,8,11,11) (S,9,11,12) (S,121,12,12) (S,122,12,11) (S,60,11,12) (S,75,12,6) (S,112,6,6) (S,53,6,10) (S,7,10,10) (D,0,1,1) 
0 1  3 17  105 19 (D,0,1,1) (S,93,1,9) (S,37,9,14) (S,14,14,23) (S,103,23,15) (S,116,15,29) (S,17,29,29) (S,18,29,30) (S,105,30,37) (S,24,37,37) (S,25,37,38) (S,41,38,44) (S,28,44,44) (S,115,44,29) (S,90,29,17) (S,62,17,19) (S,20,19,32) (S,19,32,31) (D,0,1,1) 
0 1  4 14  112 16 (D,0,1,1) (S,109,1,5) (S,111,5,11) (S,43,11,19) (S,77,19,19) (S,74,19,32) (S,83,32,39) (S,26,39,39) (S,86,39,30) (S,80,30,24) (S,15,24,24) (S,118,24,23) (S,91,23,23) (S,110,23,16) (S,12,16,17) (D,0,1,1) 
0 1  5 13  115 15 (D,0,1,1) (S,113,1,16) (S,11,16,16) (S,119,16,30) (S,98,30,40) (S,52,40,40) (S,72,40,31) (S,68,31,10) (S,51,10,24) (S,94,24,29) (S,45,29,38) (S,107,38,45) (S,76,45,44) (S,66,44,27) (D,0,1,1) 
0 1  6 12  115 14 (D,0,1,1) (S,96,1,17) (S,36,17,18) (S,99,18,23) (S,48,23,24) (S,61,24,24) (S,89,24,22) (S,114,22,9) (S,44,9,23) (S,49,23,36) (S,56,36,46) (S,78,46,49) (S,31,49,49) (D,0,1,1) 
0 1  7 12  122 14 (D,0,1,1) (S,79,1,15) (S,46,15,29) (S,73,29,35) (S,23,35,35) (S,27,35,43) (S,34,43,43) (S,58,43,43) (S,71,43,44) (S,102,44,48) (S,30,48,48) (S,82,48,50) (S,108,50,28) (D,0,1,1) 
0 1  8 11  129 13 (D,0,1,1) (S,38,1,15) (S,35,15,15) (S,40,15,23) (S,117,23,8) (S,64,8,9) (S,67,9,22) (S,39,22,21) (S,22,21,34) (S,47,34,42) (S,55,42,42) (S,32,42,50) (D,0,1,1) 
0 1  9 11  153 13 (D,0,1,1) (S,1,1,2) (S,2,2,3) (S,63,3,2) (S,106,2,4) (S,3,4,4) (S,92,4,13) (S,95,13,49) (S,57,49,50) (S,42,50,48) (S,59,48,49) (S,29,49,47) (D,0,1,1) 
0 1 10  1   43  3 (D,0,1,1) (S,81,1,40) (D,0,1,1) 
