336
10
1738
1738
0 1  1  2   44  4 (D,0,1,1) (S,3,1,4) (S,5,4,6) (D,0,1,1) 
0 1  2  3   39  5 (D,0,1,1) (S,38,1,9) (S,8,9,9) (S,6,9,7) (D,0,1,1) 
0 1  3 10   38 12 (D,0,1,1) (S,36,1,6) (S,31,6,5) (S,4,5,5) (S,2,5,3) (S,21,3,11) (S,34,11,9) (S,39,9,10) (S,29,10,6) (S,37,6,3) (S,10,3,11) (D,0,1,1) 
0 1  4  5   35  7 (D,0,1,1) (S,17,1,2) (S,33,2,9) (S,26,9,8) (S,35,8,7) (S,22,7,7) (D,0,1,1) 
0 1  5  3   32  5 (D,0,1,1) (S,7,1,8) (S,24,8,6) (S,27,6,11) (D,0,1,1) 
0 1  6  4   34  6 (D,0,1,1) (S,15,1,10) (S,18,10,4) (S,20,4,7) (S,32,7,9) (D,0,1,1) 
0 1  7  4   35  6 (D,0,1,1) (S,14,1,10) (S,23,10,5) (S,30,5,10) (S,25,10,10) (D,0,1,1) 
0 1  8  2   32  4 (D,0,1,1) (S,1,1,2) (S,19,2,8) (D,0,1,1) 
0 1  9  5   36  7 (D,0,1,1) (S,13,1,5) (S,28,5,11) (S,9,11,11) (S,11,11,8) (S,16,8,6) (D,0,1,1) 
0 1 10  1   11  3 (D,0,1,1) (S,12,1,3) (D,0,1,1) 
