557
10
1729
1729
0 1  1  6   43  8 (D,0,1,1) (S,39,1,19) (S,33,19,27) (S,7,27,8) (S,35,8,24) (S,24,24,9) (S,4,9,5) (D,0,1,1) 
0 1  2  4   40  6 (D,0,1,1) (S,1,1,2) (S,9,2,12) (S,3,12,4) (S,16,4,13) (D,0,1,1) 
0 1  3  8   69 10 (D,0,1,1) (S,32,1,1) (S,30,1,19) (S,29,19,24) (S,31,24,27) (S,44,27,27) (S,26,27,26) (S,22,26,26) (S,14,26,21) (D,0,1,1) 
0 1  4  5   59  7 (D,0,1,1) (S,18,1,5) (S,5,5,6) (S,28,6,9) (S,34,9,14) (S,40,14,17) (D,0,1,1) 
0 1  5  4   62  6 (D,0,1,1) (S,8,1,10) (S,36,10,9) (S,6,9,7) (S,2,7,3) (D,0,1,1) 
0 1  6  5   54  7 (D,0,1,1) (S,11,1,17) (S,23,17,20) (S,13,20,20) (S,27,20,23) (S,25,23,22) (D,0,1,1) 
0 1  7  5   78  7 (D,0,1,1) (S,38,1,8) (S,42,8,6) (S,21,6,15) (S,43,15,17) (S,15,17,22) (D,0,1,1) 
0 1  8  3   52  5 (D,0,1,1) (S,45,1,15) (S,10,15,14) (S,41,14,18) (D,0,1,1) 
0 1  9  4   63  6 (D,0,1,1) (S,37,1,24) (S,19,24,25) (S,12,25,18) (S,20,18,20) (D,0,1,1) 
0 1 10  1   37  3 (D,0,1,1) (S,17,1,21) (D,0,1,1) 
