55513
12
481847
481847
0 1  1 37 3721 39 (D,0,325,325) (S,305,325,97) (S,97,97,97) (S,12,97,12) (S,169,12,169) (S,187,169,187) (S,304,187,97) (S,402,97,423) (S,42,423,42) (S,226,42,171) (S,171,171,171) (S,166,171,166) (S,407,166,42) (S,406,42,429) (S,262,429,42) (S,174,42,174) (S,351,174,174) (S,352,174,174) (S,85,174,85) (S,439,85,108) (S,108,108,108) (S,339,108,362) (S,431,362,449) (S,45,449,45) (S,434,45,45) (S,263,45,277) (S,68,277,68) (S,161,68,161) (S,131,161,131) (S,167,131,167) (S,165,167,165) (S,164,165,164) (S,414,164,433) (S,368,433,388) (S,385,388,196) (S,64,196,64) (S,151,64,151) (S,153,151,153) (D,0,325,325) 
0 1  2 41 4219 43 (D,0,325,325) (S,279,325,295) (S,350,295,370) (S,395,370,413) (S,56,413,56) (S,271,56,56) (S,331,56,286) (S,404,286,426) (S,348,426,258) (S,400,258,291) (S,275,291,292) (S,248,292,196) (S,196,196,196) (S,309,196,330) (S,379,330,60) (S,60,60,60) (S,53,60,53) (S,270,53,55) (S,55,55,55) (S,287,55,297) (S,321,297,184) (S,184,184,184) (S,347,184,184) (S,323,184,340) (S,299,340,319) (S,183,319,183) (S,132,183,132) (S,341,132,364) (S,435,364,454) (S,253,454,264) (S,444,264,347) (S,197,347,197) (S,96,197,96) (S,424,96,96) (S,423,96,441) (S,328,441,348) (S,79,348,79) (S,105,79,105) (S,90,105,90) (S,469,90,468) (S,417,468,318) (S,69,318,69) (D,0,325,325) 
0 1  3 45 5302 47 (D,0,325,325) (S,422,325,440) (S,399,440,419) (S,243,419,253) (S,401,253,422) (S,293,422,312) (S,21,312,21) (S,216,21,221) (S,367,221,386) (S,374,386,394) (S,440,394,459) (S,217,459,223) (S,284,223,303) (S,23,303,23) (S,443,23,463) (S,283,463,301) (S,237,301,243) (S,87,243,87) (S,145,87,145) (S,149,145,149) (S,129,149,129) (S,115,129,115) (S,130,115,130) (S,464,130,160) (S,160,160,160) (S,324,160,342) (S,191,342,191) (S,465,191,341) (S,325,341,344) (S,181,344,181) (S,405,181,428) (S,457,428,477) (S,474,477,489) (S,473,489,488) (S,475,488,3) (S,3,3,3) (S,2,3,2) (S,1,2,1) (S,204,1,204) (S,77,204,77) (S,86,77,86) (S,61,86,61) (S,136,61,136) (S,126,136,126) (S,58,126,58) (S,114,58,114) (D,0,325,325) 
0 1  4 29 4237 31 (D,0,325,325) (S,384,325,196) (S,308,196,219) (S,247,219,218) (S,338,218,206) (S,215,206,219) (S,316,219,183) (S,306,183,328) (S,327,328,347) (S,326,347,197) (S,322,197,329) (S,462,329,339) (S,349,339,96) (S,307,96,299) (S,185,299,185) (S,282,185,300) (S,449,300,468) (S,116,468,116) (S,124,116,124) (S,173,124,173) (S,158,173,158) (S,198,158,198) (S,298,198,318) (S,99,318,99) (S,78,99,78) (S,28,78,28) (S,138,28,138) (S,366,138,44) (S,89,44,89) (S,120,89,120) (D,0,325,325) 
0 1  5 37 5068 39 (D,0,325,325) (S,194,325,194) (S,416,194,436) (S,91,436,91) (S,458,91,291) (S,419,291,64) (S,278,64,60) (S,176,60,176) (S,320,176,285) (S,246,285,256) (S,459,256,478) (S,214,478,190) (S,190,190,190) (S,408,190,364) (S,393,364,412) (S,355,412,319) (S,360,319,378) (S,281,378,298) (S,273,298,176) (S,267,176,53) (S,208,53,207) (S,448,207,467) (S,180,467,180) (S,373,180,367) (S,315,367,336) (S,36,336,36) (S,280,36,296) (S,252,296,36) (S,241,36,208) (S,319,208,338) (S,209,338,209) (S,345,209,313) (S,57,313,57) (S,297,57,75) (S,75,75,75) (S,438,75,457) (S,148,457,148) (S,63,148,63) (D,0,325,325) 
0 1  6 55 5064 57 (D,0,325,325) (S,442,325,462) (S,40,462,40) (S,95,40,95) (S,10,95,10) (S,9,10,9) (S,223,9,228) (S,222,228,227) (S,192,227,192) (S,98,192,98) (S,80,98,80) (S,70,80,70) (S,302,70,323) (S,329,323,80) (S,314,80,80) (S,391,80,98) (S,295,98,70) (S,229,70,235) (S,289,235,226) (S,369,226,390) (S,370,390,314) (S,387,314,390) (S,358,390,376) (S,428,376,63) (S,15,63,15) (S,92,15,92) (S,330,92,351) (S,343,351,75) (S,102,75,102) (S,456,102,102) (S,200,102,200) (S,467,200,476) (S,71,476,71) (S,219,71,226) (S,290,226,307) (S,141,307,141) (S,218,141,225) (S,420,225,225) (S,72,225,72) (S,292,72,310) (S,84,310,84) (S,52,84,52) (S,134,52,134) (S,125,134,125) (S,82,125,82) (S,332,82,72) (S,47,72,47) (S,46,47,46) (S,179,46,179) (S,403,179,424) (S,410,424,192) (S,336,192,260) (S,106,260,106) (S,311,106,26) (S,26,26,26) (S,34,26,34) (D,0,325,325) 
0 1  7 49 4526 51 (D,0,325,325) (S,447,325,465) (S,301,465,322) (S,193,322,193) (S,205,193,2) (S,432,2,451) (S,313,451,78) (S,310,78,78) (S,386,78,331) (S,340,331,331) (S,232,331,239) (S,231,239,238) (S,272,238,288) (S,342,288,366) (S,170,366,170) (S,398,170,417) (S,381,417,401) (S,88,401,88) (S,122,88,122) (S,123,122,123) (S,24,123,24) (S,446,24,215) (S,159,215,159) (S,445,159,110) (S,110,110,110) (S,377,110,398) (S,418,398,195) (S,195,195,195) (S,276,195,293) (S,213,293,216) (S,44,216,44) (S,354,44,372) (S,112,372,112) (S,274,112,230) (S,43,230,43) (S,199,43,199) (S,394,199,121) (S,121,121,121) (S,202,121,202) (S,22,202,22) (S,471,22,203) (S,203,203,203) (S,225,203,230) (S,155,230,155) (S,477,155,492) (S,146,492,146) (S,156,146,156) (S,8,156,8) (S,49,8,49) (S,7,49,7) (D,0,325,325) 
0 1  8 59 4481 61 (D,0,325,325) (S,117,325,117) (S,463,117,482) (S,201,482,201) (S,451,201,472) (S,450,472,470) (S,427,470,444) (S,258,444,271) (S,93,271,93) (S,426,93,430) (S,27,430,27) (S,409,27,360) (S,150,360,150) (S,337,150,360) (S,452,360,62) (S,62,62,62) (S,344,62,7) (S,100,7,100) (S,359,100,377) (S,234,377,242) (S,233,242,241) (S,472,241,487) (S,476,487,491) (S,390,491,240) (S,133,240,133) (S,411,133,431) (S,433,431,452) (S,32,452,32) (S,249,32,260) (S,257,260,269) (S,466,269,484) (S,436,484,358) (S,371,358,106) (S,186,106,186) (S,365,186,332) (S,65,332,65) (S,33,65,33) (S,139,33,139) (S,147,139,147) (S,157,147,157) (S,162,157,162) (S,41,162,41) (S,261,41,275) (S,17,275,17) (S,113,17,113) (S,20,113,20) (S,224,20,229) (S,163,229,163) (S,143,163,143) (S,66,143,66) (S,35,66,35) (S,30,35,30) (S,48,30,48) (S,29,48,29) (S,235,29,30) (S,19,30,19) (S,94,19,94) (S,412,94,251) (S,461,251,273) (S,51,273,51) (D,0,325,325) 
0 1  9 31 5097 33 (D,0,325,325) (S,388,325,406) (S,468,406,406) (S,50,406,50) (S,362,50,380) (S,265,380,278) (S,264,278,278) (S,356,278,278) (S,172,278,172) (S,211,172,212) (S,244,212,254) (S,210,254,210) (S,357,210,374) (S,81,374,81) (S,140,81,140) (S,291,140,309) (S,245,309,34) (S,250,34,20) (S,430,20,447) (S,142,447,142) (S,266,142,51) (S,18,51,18) (S,182,18,182) (S,260,182,274) (S,259,274,273) (S,413,273,268) (S,268,268,282) (S,256,282,268) (S,135,268,135) (S,37,135,37) (S,54,37,54) (S,5,54,5) (D,0,325,325) 
0 1 10 62 6669 64 (D,0,325,325) (S,378,325,255) (S,294,255,256) (S,453,256,474) (S,152,474,152) (S,254,152,266) (S,127,266,127) (S,67,127,67) (S,285,67,304) (S,317,304,16) (S,16,16,16) (S,107,16,107) (S,6,107,6) (S,397,6,416) (S,221,416,16) (S,177,16,177) (S,220,177,6) (S,425,6,337) (S,286,337,177) (S,376,177,397) (S,109,397,109) (S,318,109,73) (S,73,73,73) (S,83,73,83) (S,437,83,456) (S,454,456,455) (S,383,455,403) (S,189,403,189) (S,168,189,168) (S,269,168,284) (S,389,284,408) (S,11,408,11) (S,372,11,392) (S,382,392,111) (S,111,111,111) (S,74,111,74) (S,296,74,315) (S,59,315,59) (S,236,59,128) (S,128,128,128) (S,392,128,305) (S,137,305,137) (S,76,137,76) (S,300,76,320) (S,288,320,306) (S,178,306,178) (S,455,178,29) (S,353,29,94) (S,238,94,245) (S,255,245,267) (S,429,267,268) (S,242,268,251) (S,346,251,368) (S,188,368,188) (S,470,188,188) (S,239,188,247) (S,118,247,118) (S,240,118,247) (S,154,247,154) (S,104,154,104) (S,175,104,175) (S,101,175,101) (S,14,101,14) (D,0,325,325) 
