50412
26
1340
1340
0 1  1  4 1945  6 (D,0,22,22) (S,59,22,39) (S,58,39,31) (S,63,31,41) (S,77,41,41) (D,0,22,22) 
0 1  2  4 1979  6 (D,0,22,22) (S,43,22,30) (S,61,30,40) (S,91,40,52) (S,90,52,51) (D,0,22,22) 
0 1  3  4 2046  6 (D,0,22,22) (S,45,22,31) (S,62,31,40) (S,78,40,51) (S,71,51,38) (D,0,22,22) 
0 1  4  4 2008  6 (D,0,22,22) (S,44,22,24) (S,46,24,32) (S,79,32,52) (S,60,52,32) (D,0,22,22) 
0 1  5  3 1865  5 (D,0,22,22) (S,42,22,23) (S,26,23,23) (S,27,23,24) (D,0,22,22) 
0 1  6  4 1983  6 (D,0,22,22) (S,41,22,29) (S,74,29,49) (S,88,49,49) (S,76,49,50) (D,0,22,22) 
0 1  7  4 1947  6 (D,0,22,22) (S,40,22,22) (S,24,22,22) (S,23,22,13) (S,20,13,16) (D,0,22,22) 
0 1  8  4 1814  6 (D,0,22,22) (S,32,22,21) (S,31,21,21) (S,30,21,17) (S,21,17,12) (D,0,22,22) 
0 1  9  4 2001  6 (D,0,22,22) (S,75,22,40) (S,73,40,39) (S,57,39,38) (S,56,38,37) (D,0,22,22) 
0 1 10  4 2124  6 (D,0,22,22) (S,25,22,14) (S,13,14,14) (S,11,14,7) (S,5,7,4) (D,0,22,22) 
0 1 11  3 1864  5 (D,0,22,22) (S,55,22,30) (S,54,30,37) (S,70,37,37) (D,0,22,22) 
0 1 12  5 2011  7 (D,0,22,22) (S,22,22,17) (S,29,17,20) (S,28,20,16) (S,18,16,11) (S,17,11,19) (D,0,22,22) 
0 1 13  4 1896  6 (D,0,22,22) (S,39,22,29) (S,53,29,29) (S,38,29,28) (S,51,28,28) (D,0,22,22) 
0 1 14  3 1879  5 (D,0,22,22) (S,37,22,21) (S,19,21,15) (S,6,15,10) (D,0,22,22) 
0 1 15  4 2231  6 (D,0,22,22) (S,9,22,6) (S,12,6,13) (S,10,13,12) (S,48,12,33) (D,0,22,22) 
0 1 16  4 2099  6 (D,0,22,22) (S,7,22,5) (S,8,5,11) (S,16,11,10) (S,4,10,9) (D,0,22,22) 
0 1 17  3 1787  5 (D,0,22,22) (S,36,22,26) (S,52,26,36) (S,72,36,48) (D,0,22,22) 
0 1 18  2 1890  4 (D,0,22,22) (S,35,22,20) (S,50,20,35) (D,0,22,22) 
0 1 19  3 1983  5 (D,0,22,22) (S,49,22,27) (S,47,27,26) (S,69,26,44) (D,0,22,22) 
0 1 20  4 1972  6 (D,0,22,22) (S,89,22,50) (S,87,50,48) (S,84,48,47) (S,86,47,47) (D,0,22,22) 
0 1 21  3 1919  5 (D,0,22,22) (S,34,22,25) (S,65,25,42) (S,83,42,46) (D,0,22,22) 
0 1 22  4 2117  6 (D,0,22,22) (S,33,22,19) (S,14,19,9) (S,15,9,18) (S,80,18,43) (D,0,22,22) 
0 1 23  3 1811  5 (D,0,22,22) (S,68,22,36) (S,67,36,43) (S,82,43,44) (D,0,22,22) 
0 1 24  3 2000  5 (D,0,22,22) (S,3,22,3) (S,2,3,8) (S,1,8,2) (D,0,22,22) 
0 1 25  2 1408  4 (D,0,22,22) (S,66,22,35) (S,64,35,34) (D,0,22,22) 
0 1 26  2 1833  4 (D,0,22,22) (S,81,22,45) (S,85,45,46) (D,0,22,22) 
