25546
12
1093
1093
0 1  1  9 2448 11 (D,0,1,1) (S,28,1,8) (S,37,8,7) (S,34,7,14) (S,4,14,14) (S,55,14,20) (S,10,20,22) (S,65,22,15) (S,38,15,9) (S,7,9,18) (D,0,1,1) 
0 1  2  8 2008 10 (D,0,1,1) (S,27,1,3) (S,30,3,5) (S,17,5,10) (S,2,10,10) (S,44,10,5) (S,41,5,3) (S,39,3,3) (S,26,3,1) (D,0,1,1) 
0 1  3  6 1939  8 (D,0,1,1) (S,25,1,2) (S,36,2,3) (S,40,3,16) (S,5,16,16) (S,56,16,9) (S,53,9,14) (D,0,1,1) 
0 1  4  8 2554 10 (D,0,1,1) (S,33,1,1) (S,35,1,2) (S,29,2,8) (S,54,8,16) (S,6,16,17) (S,61,17,19) (S,49,19,12) (S,8,12,19) (D,0,1,1) 
0 1  5  6 2183  8 (D,0,1,1) (S,50,1,8) (S,52,8,21) (S,9,21,21) (S,72,21,27) (S,74,27,29) (S,15,29,30) (D,0,1,1) 
0 1  6  8 2219 10 (D,0,1,1) (S,51,1,15) (S,57,15,15) (S,20,15,23) (S,11,23,23) (S,67,23,21) (S,23,21,26) (S,66,26,20) (S,21,20,24) (D,0,1,1) 
0 1  7  8 2658 10 (D,0,1,1) (S,43,1,17) (S,60,17,10) (S,45,10,10) (S,42,10,11) (S,31,11,6) (S,1,6,6) (S,64,6,25) (S,16,25,31) (D,0,1,1) 
0 1  8  8 2311 10 (D,0,1,1) (S,22,1,22) (S,59,22,18) (S,18,18,18) (S,63,18,18) (S,62,18,12) (S,3,12,12) (S,46,12,11) (S,48,11,19) (D,0,1,1) 
0 1  9  8 2443 10 (D,0,1,1) (S,58,1,10) (S,69,10,25) (S,12,25,25) (S,79,25,30) (S,78,30,25) (S,71,25,24) (S,77,24,31) (S,73,31,23) (D,0,1,1) 
0 1 10  5 2192  7 (D,0,1,1) (S,32,1,5) (S,19,5,19) (S,47,19,13) (S,70,13,19) (S,68,19,24) (D,0,1,1) 
0 1 11  4 1891  6 (D,0,1,1) (S,14,1,29) (S,76,29,28) (S,13,28,28) (S,75,28,29) (D,0,1,1) 
0 1 12  1  700  3 (D,0,1,1) (S,24,1,30) (D,0,1,1) 
