1784
12
2241
2241
0 1  1 10  143 12 (D,0,1,1) (S,32,1,7) (S,25,7,7) (S,24,7,3) (S,41,3,16) (S,4,16,16) (S,52,16,23) (S,51,23,16) (S,70,16,32) (S,79,32,32) (S,18,32,41) (D,0,1,1) 
0 1  2 10  123 12 (D,0,1,1) (S,34,1,13) (S,13,13,12) (S,48,12,21) (S,47,21,14) (S,8,14,14) (S,49,14,15) (S,68,15,31) (S,10,31,31) (S,99,31,43) (S,113,43,50) (D,0,1,1) 
0 1  3 14  133 16 (D,0,1,1) (S,33,1,12) (S,45,12,13) (S,46,13,20) (S,60,20,26) (S,19,26,26) (S,2,26,30) (S,93,30,40) (S,92,40,35) (S,106,35,49) (S,105,49,48) (S,104,48,42) (S,9,42,44) (S,108,44,44) (S,103,44,47) (D,0,1,1) 
0 1  4 10  157 12 (D,0,1,1) (S,23,1,6) (S,22,6,5) (S,6,5,5) (S,30,5,11) (S,11,11,11) (S,59,11,20) (S,74,20,34) (S,102,34,41) (S,116,41,49) (S,7,49,10) (D,0,1,1) 
0 1  5 10  161 12 (D,0,1,1) (S,62,1,30) (S,83,30,34) (S,95,34,41) (S,117,41,50) (S,15,50,43) (S,109,43,45) (S,110,45,50) (S,112,50,50) (S,111,50,49) (S,94,49,36) (D,0,1,1) 
0 1  6 10  149 12 (D,0,1,1) (S,61,1,21) (S,78,21,36) (S,3,36,36) (S,107,36,43) (S,98,43,38) (S,20,38,38) (S,100,38,43) (S,101,43,45) (S,97,45,42) (S,96,42,37) (D,0,1,1) 
0 1  7 10  144 12 (D,0,1,1) (S,35,1,8) (S,16,8,8) (S,36,8,13) (S,50,13,22) (S,5,22,22) (S,67,22,24) (S,17,24,25) (S,69,25,25) (S,80,25,38) (S,73,38,30) (D,0,1,1) 
0 1  8  9  160 11 (D,0,1,1) (S,29,1,6) (S,21,6,2) (S,37,2,9) (S,40,9,15) (S,39,15,10) (S,28,10,10) (S,55,10,25) (S,71,25,28) (S,14,28,32) (D,0,1,1) 
0 1  9  9  140 11 (D,0,1,1) (S,31,1,18) (S,56,18,19) (S,72,19,29) (S,12,29,29) (S,58,29,29) (S,57,29,26) (S,82,26,39) (S,1,39,39) (S,91,39,46) (D,0,1,1) 
0 1 10 11  171 13 (D,0,1,1) (S,44,1,19) (S,43,19,12) (S,64,12,27) (S,75,27,30) (S,81,30,33) (S,90,33,40) (S,115,40,48) (S,114,48,47) (S,89,47,39) (S,88,39,34) (S,85,34,37) (D,0,1,1) 
0 1 11  9  170 11 (D,0,1,1) (S,63,1,22) (S,65,22,23) (S,66,23,31) (S,87,31,38) (S,86,38,37) (S,84,37,32) (S,54,32,24) (S,53,24,17) (S,42,17,17) (D,0,1,1) 
0 1 12  5  133  7 (D,0,1,1) (S,38,1,14) (S,27,14,9) (S,26,9,4) (S,77,4,35) (S,76,35,31) (D,0,1,1) 
